,FINAL_ID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,MACRO_GENSPECIES,FEEDINGHAB,TOLERANCE,NBI_P_TOLERANCE,NBI_N_TOLERANCE,TOLNAME,CLASSIFIER,PREVNAMES,COMMONNAME,REFERENCE
527,EPHEMERELLA_DOROTHEA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_DOROTHEA,EPHEMERELLA DOROTHEA,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
528,EPHEMERELLA_EXCRUCIANS?,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_EXCRUCIANS,EPHEMERELLA EXCRUCIANS?,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
529,EPHEMERELLA_INVARIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_INVARIA,EPHEMERELLA INVARIA,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
530,EPHEMERELLA_NEEDHAMI,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_NEEDHAMI,EPHEMERELLA NEEDHAMI,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
546,EPHEMERELLA_ROTUNDA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_ROTUNDA,EPHEMERELLA ROTUNDA,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,EPHEMERELLA SP. 3,MAYFLY,7
548,EPHEMERELLA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA,EPHEMERELLA SP.,C-G,1,4,4,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
547,EPHEMERELLA_SUBVARIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EPHEMERELLA,EPHEMERELLA_SUBVARIA,EPHEMERELLA SUBVARIA,C-G,1,4,1,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,7
18,EPHORON_LEUKON?,ARTHROPODA,INSECTA,EPHEMEROPTERA,POLYMITARCYIDAE,POLYMITARCYIDAE,EPHORON,EPHORON_LEUKON,EPHORON LEUKON?,C-G,2,1,1,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,"83,24"
19,EPHORON_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,POLYMITARCYIDAE,POLYMITARCYIDAE,EPHORON,EPHORON,EPHORON SP.,C-G,2,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,"83,24"
238,EPHYDRA_SP.,ARTHROPODA,INSECTA,DIPTERA,EPHYDRIDAE,EPHYDRIDAE,EPHYDRA,EPHYDRA,EPHYDRA SP.,SHR,8,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DUNG FLY,117
598,EPICORDULIA_SP.,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,CORDULIIDAE,EPICORDULIA,EPICORDULIA,EPICORDULIA SP.,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DRAGONFLY,NA
1138,EPOICOCLADIUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EPOICOCLADIUS,EPOICOCLADIUS,EPOICOCLADIUS SP.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,"124,83"
235,ERISTALIS_SP.,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,SYRPHIDAE,ERISTALIS,ERISTALIS,ERISTALIS SP.,C-G,10,NA,NA,TOLERANT,INSECTS-OTHER,NA,FLY,83
1148,ERPOBDELLA_SP.,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIDAE,ERPOBDELLIDAE,ERPOBDELLA,ERPOBDELLA,ERPOBDELLA SP.,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,"83, 63"
617,ERYTHEMIS_SP.,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,LIBELLULIDAE,ERYTHEMIS,ERYTHEMIS,ERYTHEMIS SP.,PRD,2,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DAMSEL FLY,83
125,ESTIGMENE_SP.,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,ARCTIIDAE,ESTIGMENE,ESTIGMENE,ESTIGMENE SP.,SHR,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,MOTH,66
601,EUCORETHRA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHAOBORIDAE,EUCORETHRINAE,EUCORETHRA,EUCORETHRA,EUCORETHRA SP.,PRD,7,NA,NA,TOLERANT,INSECTS-OTHER,NA,DIPTERA,NA
1139,EUKIEFFERIELLA_BREHMI_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_BREHMI,EUKIEFFERIELLA BREHMI GR.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,"EUKIEFFERIELLA CLYPEATA, EUKIEFFERIELLA SP. 5, HETEROTRISSOCLADIUS  SP. 3",MIDGE,13
91,EUKIEFFERIELLA_BREVICALCAR_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_BREVICALCAR,EUKIEFFERIELLA BREVICALCAR GR.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,13
92,EUKIEFFERIELLA_CLARIPENNIS_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_CLARIPENNIS,EUKIEFFERIELLA CLARIPENNIS GR.,C-G,8,NA,NA,TOLERANT,CHIRONOMIDAE,EUKIEFFERIELLA SP. 9,MIDGE,13
93,EUKIEFFERIELLA_COERULESCENS_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_COERULESCENS,EUKIEFFERIELLA COERULESCENS GR.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,13
94,EUKIEFFERIELLA_DEVONICA_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_DEVONICA,EUKIEFFERIELLA DEVONICA GR.,C-G,4,9,9,INTOLERANT,CHIRONOMIDAE,"CARDIOCLADIUS SP. 4, EUKIEFFERIELLA SP. 6",MIDGE,13
95,EUKIEFFERIELLA_GRACEI_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_GRACEI,EUKIEFFERIELLA GRACEI GR.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,13
911,EUKIEFFERIELLA_PSEUDOMONTANA_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA,EUKIEFFERIELLA PSEUDOMONTANA GR.,C-G,8,NA,NA,TOLERANT,CHIRONOMIDAE,EUKIEFFERIELLA SP. 4,MIDGE,13
912,EUKIEFFERIELLA_SIMILIS_GR.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_SIMILIS,EUKIEFFERIELLA SIMILIS GR.,C-G,6,NA,NA,FACULTATIVE,NA,NA,MIDGE,13
914,EUKIEFFERIELLA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA,EUKIEFFERIELLA SP.,C-G,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,83
913,EUKIEFFERIELLA_TIROLENSIS,ARTHROPODA,INSECTA,DIPTER,CHIRONOMIDAE,ORTHOCLADIINAE,EUKIEFFERIELLA,EUKIEFFERIELLA_TIROLENSIS,EUKIEFFERIELLA TIROLENSIS,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,NA
223,EUPARYPHUS_SP.,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,STRATIOMYIDAE,EUPARYPHUS,EUPARYPHUS,EUPARYPHUS SP.,C-G,7,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,SOLDIER FLY,"83,59"
549,EURYLOPHELLA_FUNERALIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EURYLOPHELLA,EURYLOPHELLA_FUNERALIS,EURYLOPHELLA FUNERALIS,C-G,0,NA,NA,INTOLERANT,EPHEMEROPTERA,EPHEMERELLA FUNERALIS,MAYFLY,"6,46"
552,EURYLOPHELLA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EURYLOPHELLA,EURYLOPHELLA,EURYLOPHELLA SP.,C-G,2,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,6
550,EURYLOPHELLA_TEMPORALIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EURYLOPHELLA,EURYLOPHELLA_TEMPORALIS,EURYLOPHELLA TEMPORALIS,C-G,5,NA,NA,FACULTATIVE,EPHEMEROPTERA,EPHEMERELLA TEMPORALIS,MAYFLY,"6,46"
551,EURYLOPHELLA_VERISIMILIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,EURYLOPHELLA,EURYLOPHELLA_VERISIMILIS,EURYLOPHELLA VERISIMILIS,C-G,2,NA,NA,INTOLERANT,EPHEMEROPTERA,"EPHEMERELLA VERSIMILIS, EPHEMERELLA SP. 4",MAYFLY,"6,46"
304,FERRISSIA_PARALLELA,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,ANCYLIDAE,FERRISSIA,FERRISSIA_PARALLELA,FERRISSIA PARALLELA,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
305,FERRISSIA_RIVULARIS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,ANCYLIDAE,FERRISSIA,FERRISSIA_RIVULARIS,FERRISSIA RIVULARIS,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,FERRISSIA PARALLELA,SNAIL,"60,83"
307,FERRISSIA_SP.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,ANCYLIDAE,FERRISSIA,FERRISSIA,FERRISSIA SP.,SCR,6,9,5,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
306,FERRISSIA_WALKERI,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,ANCYLIDAE,FERRISSIA,FERRISSIA_WALKERI,FERRISSIA WALKERI,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
172,FORCIPOMYIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONIDAE,FORCIPOMYIA,FORCIPOMYIA,FORCIPOMYIA SP.,SCR,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,PUNKIE,83
180,FOSSARIA_SP.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEIDAE,FOSSARIA,FOSSARIA,FOSSARIA SP.,C-G,6,NA,NA,FACULTATIVE,MOLLUSCA,LYMNAEA HUMILIS,SNAIL,"60,83"
860,GAMMARUS_FASCIATUS,ARTHROPODA,CRUSTACEA,AMPHIPODA,GAMMARIDAE,GAMMARIDAE,GAMMARUS,GAMMARUS_FASCIATUS,GAMMARUS FASCIATUS,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,SCUD,"17,57"
861,GAMMARUS_PSEUDOLIMNAEUS,ARTHROPODA,CRUSTACEA,AMPHIPODA,GAMMARIDAE,GAMMARIDAE,GAMMARUS,GAMMARUS,GAMMARUS PSEUDOLIMNAEUS,C-G,4,NA,NA,INTOLERANT,CRUSTACEA,NA,SCUD,"17,57"
863,GAMMARUS_SP.,ARTHROPODA,CRUSTACEA,AMPHIPODA,GAMMARIDAE,GAMMARIDAE,GAMMARUS,GAMMARUS,GAMMARUS SP.,C-G,6,8,9,FACULTATIVE,CRUSTACEA,NA,SCUD,"17,57"
862,GAMMARUS_TIGRINUS,ARTHROPODA,CRUSTACEA,AMPHIPODA,GAMMARIDAE,GAMMARIDAE,GAMMARUS,GAMMARUS_TIGRINUS,GAMMARUS TIGRINUS,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,SCUD,"17,57"
591,GEORTHOCLADIUS_FIMBRIATUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,GEORTHOCLADIUS,GEORTHOCLADIUS_FIMBRIATUS,GEORTHOCLADIUS FIMBRIATUS,C-G,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,NA
1352,GILLOTIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GILLOTIA,GILLOTIA,GILLOTIA SP.,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,NA
1206,GLOSSOSOMA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,GLOSSOSOMATIDAE,GLOSSOSOMATIDAE,GLOSSOSOMA,GLOSSOSOMA,GLOSSOSOMA SP.,SCR,0,6,0,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1109,GLYPTOTENDIPES_DREISBACHI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GLYPTOTENDIPES,GLYPTOTENDIPES_DREISBACHI,GLYPTOTENDIPES DREISBACHI,SHR,10,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,10
1110,GLYPTOTENDIPES_LOBIFERUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GLYPTOTENDIPES,GLYPTOTENDIPES_LOBIFERUS,GLYPTOTENDIPES LOBIFERUS,SHR,10,NA,NA,TOLERANT,CHIRONOMIDAE,GLYPTOTENDIPES SP. 1,MIDGE,106
1112,GLYPTOTENDIPES_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GLYPTOTENDIPES,GLYPTOTENDIPES,GLYPTOTENDIPES SP.,SHR,10,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,124
1111,GLYPTOTENDIPES_SP._2,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GLYPTOTENDIPES,GLYPTOTENDIPES,GLYPTOTENDIPES SP. 2,SHR,10,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,124
1113,GOELDICHIRONOMUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,GOELDICHIRONOMUS,GOELDICHIRONOMUS,GOELDICHIRONOMUS SP.,C-G,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,124
1277,GOERA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,GOERIDAE,GOERIDAE,GOERA,GOERA,GOERA SP.,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
21,GOMPHUS_SP.,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,GOMPHIDAE,GOMPHUS,GOMPHUS,GOMPHUS SP.,PRD,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DRAGONFLY,"83,122"
719,GONIOBASIS_LIVESCENS,MOLLUSCA,GASTROPODA,MESOGASTROPODA,PLEUROCERIDAE,PLEUROCERIDAE,GONIOBASIS,GONIOBASIS_LIVESCENS,GONIOBASIS LIVESCENS,SCR,6,10,10,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
721,GONIOBASIS_SP.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,PLEUROCERIDAE,PLEUROCERIDAE,GONIOBASIS,GONIOBASIS,GONIOBASIS SP.,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
720,GONIOBASIS_VIRGINICA,MOLLUSCA,GASTROPODA,MESOGASTROPODA,PLEUROCERIDAE,PLEUROCERIDAE,GONIOBASIS,GONIOBASIS_VIRGINICA,GONIOBASIS VIRGINICA,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
272,GUTTIPELOPIA_GUTTIPENNIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,GUTTIPELOPIA,GUTTIPELOPIA_GUTTIPENNIS,GUTTIPELOPIA GUTTIPENNIS,PRD,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,12
273,GUTTIPELOPIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHRONOMIDAE,TANYPODINAE,GUTTIPELOPIA,GUTTIPELOPIA,GUTTIPELOPIA SP.,PRD,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,12
915,GYMNOMETRIOCNEMUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,GYMNOMETRIOCNEMUS,GYMNOMETRIOCNEMUS,GYMNOMETRIOCNEMUS SP.,C-G,4,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,"124,83"
191,GYRAULUS_CIRCUMSTRIATUS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,GYRAULUS,GYRAULUS_CIRCUMSTRIATUS,GYRAULUS CIRCUMSTRIATUS,SCR,8,NA,NA,TOLERANT,MOLLUSCA,NA,SNAIL,"60,83"
192,GYRAULUS_DEFLECTUS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,GYRAULUS,GYRAULUS_DEFLECTUS,GYRAULUS DEFLECTUS,SCR,8,NA,NA,TOLERANT,MOLLUSCA,GYRAULUS HIRSUTUS,SNAIL,"60,83"
193,GYRAULUS_PARVUS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,GYRAULUS,GYRAULUS_PARVUS,GYRAULUS PARVUS,SCR,8,NA,NA,TOLERANT,MOLLUSCA,NA,SNAIL,"60,83"
194,GYRAULUS_SP.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,GYRAULUS,GYRAULUS,GYRAULUS SP.,SCR,8,NA,NA,TOLERANT,MOLLUSCA,NA,SNAIL,"60,83"
708,GYRINUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,GYRINIDAE,GYRINIDAE,GYRINUS,GYRINUS,GYRINUS SP.,PRD,4,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,"83,123"
486,HABROPHLEBIA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,LEPTOPHLEBIIDAE,LEPTOPHLEBIIDAE,HABROPHLEBIA,HABROPHLEBIA,HABROPHLEBIA SP.,C-G,4,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,83
485,HABROPHLEBIA_VIBRANS,ARTHROPODA,INSECTA,EPHEMEROPTERA,LEPTOPHLEBIIDAE,LEPTOPHLEBIIDAE,HABROPHLEBIA,HABROPHLEBIA_VIBRANS,HABROPHLEBIA VIBRANS,C-G,4,NA,NA,INTOLERANT,EPHEMEROPTERA,HABROPHLEBIA SP.,MAYFLY,"83,34"
487,HABROPHLEBIODES_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,LEPTOPHLEBIIDAE,LEPTOPHLEBIIDAE,HABROPHLEBIODES,HABROPHLEBIODES,HABROPHLEBIODES SP.,SCR,6,NA,NA,FACULTATIVE,EPHEMEROPTERA,NA,MAYFLY,83
512,HAEMONAIS_SP.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,HAEMONAIS,HAEMONAIS,HAEMONAIS SP.,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
511,HAEMONAIS_WALDVOGELI,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,HAEMONAIS,HAEMONAIS,HAEMONAIS WALDVOGELI,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
22,HAGENIUS_SP.,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,GOMPHIDAE,HAGENIUS,HAGENIUS,HAGENIUS SP.,PRD,1,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83,122"
473,HALIPLUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,HALIPLIDAE,HALIPLUS,HALIPLUS,HALIPLUS SP.,SHR,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,"83,123"
441,HAPLOPERLA_BREVIS,ARTHROPODA,INSECTA,PLECOPTERA,CHLOROPERLIDAE,CHLOROPERLIDAE,HAPLOPERLA,HAPLOPERLA_BREVIS,HAPLOPERLA BREVIS,PRD,1,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,114
442,HAPLOPERLA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,CHLOROPERILDAE,CHLOROPERILDAE,HAPLOPERLA,HAPLOPERLA,HAPLOPERLA SP.,PRD,1,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,114
1114,HARNISCHIA_CURTILAMELLATA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,HARNISCHIA,HARNISCHIA_CURTILAMELLATA,HARNISCHIA CURTILAMELLATA,C-G,8,NA,NA,TOLERANT,CHIRONOMIDAE,"PARACLADOPELMA NAIS, PARACLADOPLEMA SP.",MIDGE,106
1115,HARNISCHIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHRIONOMINAE,HARNISCHIA,HARNISCHIA,HARNISCHIA SP.,C-G,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,106
274,HAYESOMYIA_SENATA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,HAYESOMYIA,HAYESOMYIA,HAYESOMYIA SENATA,PRD,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,"94,75"
275,HAYESOMYIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHRIONOMIDAE,TANYPODINAE,HAYESOMYIA,HAYESOMYIA,HAYESOMYIA SP.,PRD,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,"94,75"
916,HELENIELLA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,HELENIELLA,HELENIELLA,HELENIELLA SP.,PRD,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,NA
736,HELICHUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,DRYOPIDAE,DRYOPIDAE,HELICHUS,HELICHUS,HELICHUS SP.,SCR,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,"83,19"
105,HELICOPSYCHE_BOREALIS,ARTHROPODA,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,HELICOPSYCHIDAE,HELICOPSYCHE,HELICOPSYCHE_BOREALIS,HELICOPSYCHE BOREALIS,SCR,3,1,2,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,"125,83"
106,HELICOPSYCHE_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,HELICOPSYCHIDAE,HELICOPSYCHE,HELICOPSYCHE,HELICOPSYCHE SP.,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,"125,83"
297,HELISOMA_ANCEPS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,HELISOMA,HELISOMA_ANCEPS,HELISOMA ANCEPS,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
298,HELISOMA_CAMPANULATA,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,HELISOMA,HELISOMA_CAMPANULATA,HELISOMA CAMPANULATA,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,60
300,HELISOMA_SP.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,HELISOMA,HELISOMA,HELISOMA SP.,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,60
299,HELISOMA_TRIVOLVIS,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBIDAE,HELISOMA,HELISOMA_TRIVOLVIS,HELISOMA TRIVOLVIS,SCR,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,60
140,HELIUS_SP.,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,TIPULIDAE,HELIUS,HELIUS,HELIUS SP.,C-G,4,NA,NA,INTOLERANT,INSECTS-OTHER,NA,CRANE FLY,"83,25"
1152,HELOBDELLA_ELONGATA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA_ELONGATA,HELOBDELLA ELONGATA,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,"83,63"
1156,HELOBDELLA_SP.,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA,HELOBDELLA SP.,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,63
1155,HELOBDELLA_SP._1,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA,HELOBDELLA SP. 1,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,63
1153,HELOBDELLA_STAGNALIS,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA,HELOBDELLA STAGNALIS,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,"83,63"
1154,HELOBDELLA_TRISERIALIS,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA_TRISERIALIS,HELOBDELLA TRISERIALIS,PRD,8,NA,NA,TOLERANT,OTHER,NA,LEECH,"83,63"
